gpt2_enc_noaug,2,tOnjlUzqSC4
gpt2_enc_chataug,1,tOnjlUzqSC4
lstm_attn_noaug,3,tOnjlUzqSC4
gpt2_enc_noaug,2,RFNRR78dh-8
lstm_attn_noaug,3,RFNRR78dh-8
gpt2_enc_chataug,1,RFNRR78dh-8
lstm_attn_noaug,3,cQX-WgT0ACQ
gpt2_enc_noaug,2,cQX-WgT0ACQ
gpt2_enc_chataug,1,cQX-WgT0ACQ
gpt2_enc_noaug,2,6cQbxwbBqqI
lstm_attn_noaug,3,6cQbxwbBqqI
gpt2_enc_chataug,1,6cQbxwbBqqI
gpt2_enc_noaug,3,RFNRR78dh-8
lstm_attn_noaug,2,RFNRR78dh-8
gpt2_enc_chataug,1,RFNRR78dh-8
gpt2_enc_noaug,1,iQJvAXOohoU
gpt2_enc_chataug,2,iQJvAXOohoU
lstm_attn_noaug,3,iQJvAXOohoU
gpt2_enc_chataug,2,ji5wvUUQjHY
gpt2_enc_noaug,1,ji5wvUUQjHY
lstm_attn_noaug,3,ji5wvUUQjHY
gpt2_enc_noaug,3,yi4-kGV30qs
lstm_attn_noaug,2,yi4-kGV30qs
gpt2_enc_chataug,1,yi4-kGV30qs
gpt2_enc_noaug,3,xuxKtxzq2Cs
gpt2_enc_chataug,2,xuxKtxzq2Cs
lstm_attn_noaug,1,xuxKtxzq2Cs
gpt2_enc_noaug,2,lfCWGQ6URds
lstm_attn_noaug,3,lfCWGQ6URds
gpt2_enc_chataug,1,lfCWGQ6URds
gpt2_enc_noaug,1,OZv8mtQEgA0
lstm_attn_noaug,3,OZv8mtQEgA0
gpt2_enc_chataug,2,OZv8mtQEgA0
gpt2_enc_noaug,2,HtSznF9_784
gpt2_enc_chataug,3,HtSznF9_784
lstm_attn_noaug,1,HtSznF9_784
gpt2_enc_chataug,2,1Ziku4FLka4
gpt2_enc_noaug,1,1Ziku4FLka4
lstm_attn_noaug,3,1Ziku4FLka4
