gpt2_enc_chataug,2,UxrAsZ7Z09Y
gpt2_enc_noaug,3,UxrAsZ7Z09Y
lstm_attn_noaug,1,UxrAsZ7Z09Y
gpt2_enc_chataug,2,-4SYC2YgzL8
lstm_attn_noaug,3,-4SYC2YgzL8
gpt2_enc_noaug,1,-4SYC2YgzL8
lstm_attn_noaug,2,BSe5J0KlN3k
gpt2_enc_noaug,3,BSe5J0KlN3k
gpt2_enc_chataug,1,BSe5J0KlN3k
lstm_attn_noaug,3,-6HBGg1cAI0
gpt2_enc_noaug,2,-6HBGg1cAI0
gpt2_enc_chataug,1,-6HBGg1cAI0
lstm_attn_noaug,3,JUwu4xOs8K4
gpt2_enc_chataug,1,JUwu4xOs8K4
gpt2_enc_noaug,2,JUwu4xOs8K4
gpt2_enc_chataug,1,Yk2ZrS0ZS6g
gpt2_enc_noaug,2,Yk2ZrS0ZS6g
lstm_attn_noaug,3,Yk2ZrS0ZS6g
gpt2_enc_noaug,1,f1NV9qTjOv8
gpt2_enc_chataug,3,f1NV9qTjOv8
lstm_attn_noaug,2,f1NV9qTjOv8
lstm_attn_noaug,3,0ZNFJz-eZTU
gpt2_enc_noaug,1,0ZNFJz-eZTU
gpt2_enc_chataug,2,0ZNFJz-eZTU
gpt2_enc_chataug,1,TrvI6t4pAP0
gpt2_enc_noaug,3,TrvI6t4pAP0
lstm_attn_noaug,2,TrvI6t4pAP0
gpt2_enc_noaug,1,ovVrS-q3Rzk
gpt2_enc_chataug,2,ovVrS-q3Rzk
lstm_attn_noaug,3,ovVrS-q3Rzk
gpt2_enc_noaug,1,LpcvkXs49Zo
lstm_attn_noaug,3,LpcvkXs49Zo
gpt2_enc_chataug,2,LpcvkXs49Zo
gpt2_enc_chataug,1,gp1DYuoQH08
lstm_attn_noaug,2,gp1DYuoQH08
gpt2_enc_noaug,3,gp1DYuoQH08
gpt2_enc_noaug,2,DVuWm53IlVw
gpt2_enc_chataug,1,DVuWm53IlVw
lstm_attn_noaug,3,DVuWm53IlVw
gpt2_enc_noaug,1,OyRtTtTSXuM
gpt2_enc_chataug,2,OyRtTtTSXuM
lstm_attn_noaug,3,OyRtTtTSXuM
lstm_attn_noaug,3,oT6ud0OdR_E
gpt2_enc_chataug,2,oT6ud0OdR_E
gpt2_enc_noaug,1,oT6ud0OdR_E
gpt2_enc_chataug,2,aT7LGemDB40
gpt2_enc_noaug,1,aT7LGemDB40
lstm_attn_noaug,3,aT7LGemDB40
lstm_attn_noaug,3,WiAFUo2nxIk
gpt2_enc_chataug,1,WiAFUo2nxIk
gpt2_enc_noaug,2,WiAFUo2nxIk
lstm_attn_noaug,3,LjxhswBV1UA
gpt2_enc_chataug,1,LjxhswBV1UA
gpt2_enc_noaug,2,LjxhswBV1UA
gpt2_enc_chataug,2,JWNWCKdfpzM
gpt2_enc_noaug,1,JWNWCKdfpzM
lstm_attn_noaug,3,JWNWCKdfpzM
