gpt2_enc_chataug,2,INBx8CrIWcg
lstm_attn_noaug,3,INBx8CrIWcg
gpt2_enc_noaug,1,INBx8CrIWcg
gpt2_enc_noaug,3,UtCRBs5p4EQ
gpt2_enc_chataug,1,UtCRBs5p4EQ
lstm_attn_noaug,2,UtCRBs5p4EQ
gpt2_enc_chataug,1,B4KIQtk7fT4
gpt2_enc_noaug,2,B4KIQtk7fT4
lstm_attn_noaug,3,B4KIQtk7fT4
lstm_attn_noaug,3,ue1sgGEvkwE
gpt2_enc_noaug,2,ue1sgGEvkwE
gpt2_enc_chataug,1,ue1sgGEvkwE
gpt2_enc_chataug,3,B41tuPoJ61c
lstm_attn_noaug,2,B41tuPoJ61c
gpt2_enc_noaug,1,B41tuPoJ61c
lstm_attn_noaug,2,HtSznF9_784
gpt2_enc_chataug,3,HtSznF9_784
gpt2_enc_noaug,1,HtSznF9_784
gpt2_enc_chataug,2,92k_81uqMSM
lstm_attn_noaug,3,92k_81uqMSM
gpt2_enc_noaug,1,92k_81uqMSM
gpt2_enc_chataug,2,vWM2qG-nU-Y
lstm_attn_noaug,3,vWM2qG-nU-Y
gpt2_enc_noaug,1,vWM2qG-nU-Y
